CODE	Label - English	Label - French	Label - German	Standard code	Note (EN only)
CP05401B	Flat plate (1 piece)	Assiette plate (1 pièce)	Flacher Teller (1 Stück)	Y	
CP05401C	Cup and saucer (1 set)	Tasse et soucoupe (1 ensemble)	Tasse mit Untertasse (1 Set)	Y	
CP05402	Cutlery, flatware and silverware	Articles de coutellerie, couverts et argenterie	Schneidwaren, Bestecke und Silberwaren	Y	
CP05403	Non-electric kitchen utensils and articles	Ustensiles et articles de cuisine non électriques	Nichtelektrische Küchengeräte und sonstige Haushaltsartikel	Y	
CP05403A	Cooking pot, stainless steel (1 set)	Casserole en acier inoxydable (1 ensemble)	Kochtopf, Edelstahl (1 Set)	Y	
CP05404	Repair of glassware, tableware and household utensils	Réparation de verrerie, de vaisselle et d'ustensiles de ménage	Reparatur von Glaswaren, Geschirr und sonstigen Gebrauchsgüter für die Haushaltsführung	Y	
CP055	Tools and equipment for house and garden	Outillage et autre matériel pour la maison et le jardin	Werkzeuge und andere Gebrauchsgüter für Haus und Garten	Y	
CP0551_0552	Major tools and equipment; small tools and miscellaneous accessories	Gros outillage; petit outillage et accessoires divers	Großwerzeuge und -geräte; Kleinwerkzeuge und diverses Zubehör	Y	
CP0551	Major tools and equipment	Gros outillage et matériel	Großwerzeuge und -geräte	Y	
CP05511	Motorized major tools and equipment	Gros outillage et matériel motorisés	Motorisierte Großwerkzeuge und -geräte	Y	
CP05512	Repair, leasing and rental of major tools and equipment	Réparation et location de gros outillage et matériel	Reparatur, Leasing und Vermietung von Großwerkzeugen und -geräten	Y	
CP0552	Small tools and miscellaneous accessories	Petit outillage et accessoires divers	Kleinwerkzeuge und diverses Zubehör	Y	
CP05521	Non-motorised small tools	Petit outillage non motorisé	Nicht-motorisierte Kleinwerkzeuge	Y	
CP05522	Miscellaneous small tool accessories	Divers accessoires de petit outillage	Sonstiges Zubehör für Kleinwerkzeuge	Y	
CP05522A	Battery (1 piece)	Pile (1 pièce)	Batterie (1 Stück)	Y	
CP05522B	Light bulb, standard (1 piece)	Ampoule électrique, classique (1 pièce)	Glühbirne, standard (1 Stück)	Y	
CP05522C	Light bulb energy saving type (1 piece)	Ampoule électrique économique (1 pièce)	Energiesparlampe (1 Stück)	Y	
CP05523	Repair of non-motorised small tools and miscellaneous accessories	Réparation de petit outillage non motorisé et d'accessoires divers	Reparatur von nicht-motorisierten Kleinwerkzeugen und sonstigem Zubehör	Y	
CP056	Goods and services for routine household maintenance	Biens et services pour l'entretien courant du foyer	Waren und Dienstleistungen für die laufende Haushaltsführung	Y	
CP0561	Non-durable household goods	Biens d'équipement ménager non durables	Kurzlebige Haushaltswaren	Y	
CP05611	Cleaning and maintenance products	Produits de nettoyage et d'entretien	Reinigungs- und Pflegemittel	Y	
CP05611A	Dish washer tablets (10 tablets)	Tablettes pour lave-vaisselle (10 tablettes)	Geschirrspültabs (10 Tabs)	Y	
CP05611B	Detergent for washing machine, concentrated (1 kg)	Lessive pour lave-linge, concentrée (1 kg)	Waschmittel für Waschmaschinen, konzentriert (1 kg)	Y	
CP05611C	Detergent for washing machine, unconcentrated (1 kg)	Lessive pour lave-linge, non concentrée (1 kg)	Waschmittel für Waschmaschinen, nicht konzentriert (1 kg)	Y	
CP05611D	All-purposes household cleaner (1 l)	Nettoyant ménager multi-usage (1 l)	Allzweckreiniger (1 l)	Y	
CP05611E	Cleaner for WC (1 l)	Nettoyant WC (1 l)	WC-Reiniger (1 l)	Y	
